source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
thestrategybridge.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
tennessean.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility
thetandd.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
thetowntalk.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
trentonian.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
theunion.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
vindy.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
wcfcourier.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
theunion.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
zdf.de,germany,least biased,high,mostly free,tv station,high traffic,high credibility
thirdway.org,usa,least biased,mixed,mostly free,organization/foundation,minimal traffic,high credibility
thoughtco.com,usa,least biased,very high,mostly free,website,high traffic,high credibility
thv11.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
timesofsandiego.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
magicvalley.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
todayifoundout.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
tonganoxiemirror.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
transparency.org,germany,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility
transpartisanreview.com,usa,least biased,mixed,mostly free,website,minimal traffic,high credibility
record-eagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
tribunecontentagency.com,usa,least biased,high,mostly free,news agency,medium traffic,high credibility
tri-cityherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
truthorfiction.com,usa,least biased,very high,mostly free,website,medium traffic,high credibility
tucsonweekly.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
tut.by,belarus,least biased,mixed,mostly free,website,high traffic,high credibility
tvw.org,usa,least biased,very high,mostly free,tv station,minimal traffic,high credibility
loganwoodbine.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
ukiahdailyjournal.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
upi.com,usa,least biased,high,mostly free,news agency,medium traffic,high credibility
house.gov,usa,least biased,very high,mostly free,organization/government,high traffic,high credibility
uscourts.gov,usa,least biased,high,mostly free,organization/foundation,high traffic,high credibility
usaspending.gov,usa,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility
usafacts.org,usa,least biased,very high,mostly free,website,medium traffic,high credibility
standard.net,usa,right-center,high,mostly free,newspaper,medium traffic,high credibility
vaildaily.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
timesheraldonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
vcreporter.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
verifythis.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
voanews.com,usa,least biased,high,mostly free,radio station,high traffic,high credibility
vinnews.com,usa,least biased,mixed,mostly free,website,medium traffic,medium credibility
votesmart.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
waaytv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
deltanews.tv,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wabi.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wacotrib.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
wafb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox5atlanta.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wagmtv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wahoo-ashland-waverly.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fox10tv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
walb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wandtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wane.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
waow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wapt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
warontherocks.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
c-span.org,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtop.com,usa,least biased,high,mostly free,radio station,high traffic,high credibility
wate.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
localmemphis.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wave3.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wavy.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbaltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbay.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbir.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbko.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbng.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
10tv.com,usa,least biased,high,mostly free,website,high traffic,high credibility
wbrc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
pahomepage.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wbtw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wcax.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
counton2.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wcia.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
nbc4i.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wcnc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wcpo.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
live5news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wctv.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wcvb.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox4kc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wdam.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox40jackson.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wdbj7.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
dcnewsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wdio.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
clickondetroit.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wdrb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wdsu.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wdtn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wdtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wearethemighty.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
wect.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
25newsnow.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
tristatehomepage.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
weny.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wesh.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
westernmassnews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
westvalleyview.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
wvpublic.org,usa,least biased,high,mostly free,tv station/radio station/website,high traffic,high credibility
mytwintiers.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wiproud.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wevv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
news5cleveland.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wfaa.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
mychamplainvalley.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wfft.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
14news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wfla.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox32chicago.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wflx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wfmynews2.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wfmz.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wearegreenbay.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wfsb.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wfxrtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
boston25news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wgal.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
nbc26.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
cbs46.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wgem.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
westernmassnews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
myfox8.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
brproud.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wgntv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wgno.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtkr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wgrz.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
whas11.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
whatculture.com,united kingdom,least biased,high,mostly free,website,high traffic,high credibility
fox13memphis.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
whec.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
whio.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
whittierdailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
foxcarolina.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
whnt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
who13.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
whsv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
abc27.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cbs42.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kansas.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
erienewsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wicz.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wilx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
winknews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschief.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility
wistv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
channel3000.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wisn.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox6now.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
witn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wivb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjbf.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjhg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjhl.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wjtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox8.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
news4jax.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wkbn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
news8000.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkbw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
clickorlando.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wkow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkrg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkyc.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wlns.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlbt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
lex18.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlfi.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
hometownstations.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlky.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlox.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wltx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
uppermichiganssource.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wlwt.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wmar2news.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
centralillinoisproud.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox47.com,usa,right-center,high,mostly free,tv station,medium traffic,high credibility
tv20detroit.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
cbs17.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wnct.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wndu.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wnem.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wnyt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox5ny.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wogx.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
hometownstations.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
weareiowa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cleveland19.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
woodtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
spectrumnews1.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wowktv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wowt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wpbf.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
phl17.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox43.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
mynbc5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wqad.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
mystateline.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrex.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsfltv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wsoctv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
localsyr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox61.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
tmj4.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtsp.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtvm.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox13news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wtvy.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wikinews.org,usa,least biased,high,mostly free,website,medium traffic,high credibility
wikipedia.org,usa,least biased,mixed,mostly free,organization/foundation,high traffic,medium credibility
winnipegfreepress.com,canada,least biased,high,mostly free,newspaper,high traffic,high credibility
winonadailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
journalnow.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
wionews.com,india,least biased,mixed,limited freedom,website,medium traffic,medium credibility
madison.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
fox2detroit.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
fox46.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wkrn.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvlt.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
raleighcw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
13wmaz.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
actionnews5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wmtw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wmur.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wnep.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox35orlando.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
dailydemocrat.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
worldometers.info,usa,least biased,high,mostly free,website,high traffic,high credibility
worldpoliticsreview.com,usa,left-center,high,mostly free,website,medium traffic,high credibility
worldpopulationreview.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility
pix11.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wpri.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wpta21.com,usa (44/180 press freedom),least biased,high,mostly free,tv station,medium traffic,high credibility
wpxi.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wqow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wral.com,usa,left-center,high,mostly free,tv station,high traffic,high credibility
wrbl.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wrdw.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wreg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wric.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
rochesterfirst.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsav.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsaz.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wsbtv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wsfa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsiltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsls.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wsmv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wspa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox47news.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wtae.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wearecentralpa.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtap.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
news10.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wthitv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wthr.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wtnh.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtok.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtol.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox5dc.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
cbs4indy.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wtva.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschannel5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
13abc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox29.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wusa9.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
13newsnow.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
nbc29.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvtm13.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox8live.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wvva.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
nbc12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwlp.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwnytv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
my9nj.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
mysuncoast.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
11alive.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
wxii12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox59.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox19.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
fox17online.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wwltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wxow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wxyz.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wyff4.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wymt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wytv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
rocketcitynow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wzmq19.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
wzzm13.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
yle.fi,finland,least biased,mixed,excellent,tv station/radio/website,high traffic,high credibility
yorknewstimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
zdnet.com,usa,least biased,high,mostly free,website,high traffic,high credibility
accountable.us,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
act.tv,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
aftonbladet.se,sweden,left,mixed,excellent,newspaper,high traffic,medium credibility
aldianews.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
afj.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
altnews.in,india,left,high,limited freedom,website,medium traffic,high credibility
alternet.org,usa,left,mixed,mostly free,website,medium traffic,medium credibility
aidc.org.za,south africa,left,high,mostly free,magazine,minimal traffic,high credibility
americanbridgepac.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
americanoversight.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
au.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
angrywhitemen.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
azmirror.com,usa,left,high,mostly free,organization/foundation,medium traffic,high credibility
arkansasadvocate.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
attackthesystem.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
autostraddle.com,usa,left-center,high,mostly free,magazine,medium traffic,high credibility
baltimoresun.com,usa,left,mixed,mostly free,website,medium traffic,high credibility
ebar.com,usa,left,high,mostly free,newspaper,minimal traffic,high credibility
beingliberal.org,usa,left,mixed,mostly free,website,medium traffic,medium credibility
billmoyers.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
bitchmedia.org,usa,left,high,mostly free,magazine,medium traffic,high credibility
blackagendareport.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
blackamericaweb.com,usa,left,mixed,mostly free,website,mediumtraffic,medium credibility
blacklivesmatter.com,usa,left,mixed,mostly free,organization/foundation,medium traffic,medium credibility
blackmainstreet.net,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
bnc.tv,usa,left,mixed,mostly free,tv station,minimal traffic,medium credibility
boingboing.net,usa,left,mixed,mostly free,website,high traffic,medium credibility
bostonreview.net,usa,left,high,mostly free,magazine,medium traffic,high credibility
brut.media,france,left,mixed,mostly free,website,medium traffic,medium credibility
bust.com,usa,left,mixed,mostly free,magazine,medium traffic,medium credibility
calltoactivism.com,usa,left,mixed,mostly free,website,high traffic (social media),medium credibility
canadafactcheck.ca,canada,left,mixed,mostly free,website,medium traffic,medium credibility
antihate.ca,canada,left,high,mostly free,organization/foundation,minimal traffic,high credibility
canadiandimension.com,canada,left,mixed,mostly free,magazine,minimal traffic,medium credibility
capitalandmain.com,usa,left,high,mostly free,website,minimal traffic,high credibility
care2.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
ceasefiremagazine.co.uk,united kingdom,left,high,mostly free,magazine,minimal traffic,high credibility
americanprogress.org,usa,left,mixed,mostly free,organization/foundation,medium traffic,medium credibility
,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
prwatch.org,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
c4ss.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
change.org,usa,left,mixed,mostly free,organization/foundation,high traffic,medium credibility
chicagoreader.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
chicagoreporter.com,usa,left,high,mostly free,magazine,minimal traffic,high credibility
china.org.cn,china,left-center,mixed,total oppression,website,medium traffic,medium credibility
citybeat.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
citizencritics.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
clevescene.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
climatechangenews.com,united kingdom,left,high,mostly free,website,medium traffic,high credibility
cnn.com,usa,left,mixed,mostly free,tv station,high traffic,medium credibility
codepink.org,usa,left,mixed,mostly free,organization/foundation,minimal traffic,medium credibility
coloradotimesrecorder.com,usa,left,high,mostly free,website,minimal traffic,high credibility
colorlines.com,usa,left,high,mostly free,website,medium,high credibility
columbusfreepress.com,usa,left,mixed,mostly free,newspaper,minimal traffic,medium credibility
comicsands.com,usa,left,mixed,mostly free,website,high traffic,medium credibility
commondreams.org,usa,left,high,mostly free,website,medium traffic,high credibility
communemag.com,usa,left,mixed,mostly free,magazine,minimal traffic,medium credibility
consortiumnews.com,usa,left,mixed,mostly free,website,medium traffic,high credibility
copblock.org,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
cosmopolitan.com,usa,left,mixed,mostly free,magazine,high traffic,medium credibility
countercurrents.org,india,left,mixed,mostly free,website,medium traffic,high credibility
counterpunch.org,usa,left,mixed,mostly free,magazine,medium traffic,high credibility
crikey.com.au,australia,left,high,mostly free,website,medium traffic,high credibility
crimethinc.com,usa,left,high,mostly free,organization/foundation,medium traffic,high credibility
crooked.com,usa,left,mixed,mostly free,website,medium traffic,medium credibility
crooksandliars.com,usa,left,mixed,mostly free,website,minimal traffic,high credibility
currentaffairs.org,usa,left,high,mostly free,magazine,medium traffic,high credibility
curvemag.com,usa,left,high,mostly free,magazine,medium traffic,high credibility
thedailybeast.com,usa,left,mixed,mostly free,website,high traffic,medium credibility
dailydot.com,usa,left,high,mostly free,website,high traffic,high credibility
dailykos.com,usa,left,mixed,mostly free,website,high traffic,medium credibility
dailyrecord.co.uk,united kingdom,left,mixed,mostly free,newspaper,high traffic,high credibility
dailysoundandfury.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
dallasvoice.com,usa,left,high,mostly free,newspaper,minimal traffic,high credibility
deadstate.org,usa,left,high,mostly free,website,medium traffic,high credibility
deadspin.com,usa,left-center,high,mostly free,website,medium traffic,high credibility
democracyguardian.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
democracyjournal.org,usa,left,high,mostly free,journal,minimal traffic,high credibility
democracynow.org,usa,left biased,high,mostly free,tv station; radio,medium traffic,high credibility
democraticunderground.com,usa,left,mixed,mostly free,website,high traffic,medium credibility
deshabhimani.com,india,left,mixed,limited freedom,newspaper,medium traffic,medium credibility
desmogblog.com,usa,left,high,mostly free,organization/foundation,minimal traffic,high credibility
metrotimes.com,usa,left,high,mostly free,newspaper,medium traffic,high credibility
dissentmagazine.org,usa,left,high,mostly free,website,minimal traffic,high credibility
drudge.com,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
earthfirstjournal.news,usa,left,mixed,mostly free,website,minimal traffic,medium credibility
